Time (years),sun Energy (J),mercury Energy (J),venus Energy (J),earth Energy (J),mars Energy (J),jupiter Energy (J),saturn Energy (J),uranus Energy (J),neptune Energy (J),System Total (J)
2.0,-3.942552523999231e+35,-1.9669381571864366e+32,-2.2921401405781505e+33,-2.329880940691097e+33,-1.8377044007714892e+32,-1.624125853072839e+35,-2.660708932017782e+34,-1.9419207933297346e+33,-1.5036058058010322e+33,-5.9172293896358065e+35
2.1,-3.941704411791033e+35,-1.931271755123641e+32,-2.2715487453481426e+33,-2.3180821007193486e+33,-1.8347308644159334e+32,-1.6242058988400476e+35,-2.660532896883502e+34,-1.941889170238695e+33,-1.5035971874962798e+33,-5.916080774976995e+35
2.2,-3.94106567514533e+35,-1.8971265060079696e+32,-2.2524078957947626e+33,-2.3068771225854703e+33,-1.8318033423943596e+32,-1.6242893265898937e+35,-2.6603744292040317e+34,-1.941859589530894e+33,-1.5035891234851655e+33,-5.915168711817992e+35
2.3000000000000003,-3.940667658280257e+35,-1.869780411082262e+32,-2.234318876305834e+33,-2.2960932548481834e+33,-1.8288708737876766e+32,-1.6243759455467832e+35,-2.660233606821983e+34,-1.9418321855109167e+33,-1.5035816589847124e+33,-5.914523875550604e+35
2.4,-3.940447746095326e+35,-1.848553132437237e+32,-2.2168062445240037e+33,-2.2855083746670303e+33,-1.8258814865393736e+32,-1.6244653416558028e+35,-2.660110171385788e+34,-1.941807049337538e+33,-1.5035748283407472e+33,-5.914075504477377e+35
2.5,-3.940198319480347e+35,-1.830750076531699e+32,-2.1994156469146365e+33,-2.274896127129443e+33,-1.8227852973381257e+32,-1.6245566088391599e+35,-2.660003798819683e+34,-1.9417842831548485e+33,-1.5035686711073974e+33,-5.913605490858408e+35
2.6,-3.939701440336937e+35,-1.813979675293911e+32,-2.1818532373913832e+33,-2.2640798408760426e+33,-1.8195399166278093e+32,-1.6246485733768559e+35,-2.6599144041578703e+34,-1.9417640132438345e+33,-1.503563232226383e+33,-5.9128875769588785e+35
2.7,-3.9388569859846666e+35,-1.796141765213131e+32,-2.1641024916984618e+33,-2.252981437984261e+33,-1.8161069842988866e+32,-1.6247407314554981e+35,-2.6598420002688783e+34,-1.9417463296720974e+33,-1.5035585419906693e+33,-5.91181805423002e+35
2.8000000000000003,-3.9377044695812314e+35,-1.775414239463934e+32,-2.1464045764025937e+33,-2.2416490899326827e+33,-1.8124431377457884e+32,-1.6248333779377383e+35,-2.659786270095132e+34,-1.9417312389434262e+33,-1.503554603529639e+33,-5.910437726993777e+35
2.9,-3.936353959002509e+35,-1.751688502814958e+32,-2.1291644796245013e+33,-2.2301671248411612e+33,-1.8085602857829523e+32,-1.6249264082813966e+35,-2.6597465634297293e+34,-1.9417186989088566e+33,-1.503551405773199e+33,-5.908861289506954e+35
3.0,-3.9349761680776795e+35,-1.7280749970005877e+32,-2.1128250723778543e+33,-2.2185651727964114e+33,-1.8045218596978916e+32,-1.6250190343644047e+35,-2.659722200814243e+34,-1.9417086768915715e+33,-1.503548942195806e+33,-5.907266498022823e+35
3.1,-3.933809507458986e+35,-1.7079075500735002e+32,-2.0974343008214014e+33,-2.2072142384348033e+33,-1.8003810699646423e+32,-1.6251103360121434e+35,-2.659712636522105e+34,-1.9417011681427627e+33,-1.503547215029714e+33,-5.9058983649676645e+35
3.2,-3.933030162606052e+35,-1.6916235358551567e+32,-2.082976608313729e+33,-2.1963691441991563e+33,-1.7961924820501677e+32,-1.6251995061494101e+35,-2.6597174816089414e+34,-1.941696179446906e+33,-1.5035462267703222e+33,-5.904935114521563e+35
3.3000000000000003,-3.9326656074890636e+35,-1.678044209210957e+32,-2.0693824293289696e+33,-2.1861601346664858e+33,-1.792017599931493e+32,-1.625285919026014e+35,-2.6597364458841286e+34,-1.9416936929806085e+33,-1.503545967021705e+33,-5.90440305515261e+35
3.4,-3.932618208184252e+35,-1.665889100855324e+32,-2.056480823743615e+33,-2.1766535702507397e+33,-1.787921462111349e+32,-1.625369174223146e+35,-2.659769182934959e+34,-1.941693635806256e+33,-1.50354640575198e+33,-5.904201855619385e+35
3.5,-3.9327103248213745e+35,-1.6540641256601854e+32,-2.0440156703560923e+33,-2.167836766146541e+33,-1.783968288231084e+32,-1.6254490513091008e+35,-2.659815125006745e+34,-1.941695891111099e+33,-1.5035475015849662e+33,-5.904149879337028e+35
3.6,-3.932729554489884e+35,-1.6415321467857938e+32,-2.0316906504059312e+33,-2.1596079986882316e+33,-1.78021453339868e+32,-1.6255253400560622e+35,-2.659873520393533e+34,-1.941700348693054e+33,-1.503549217866766e+33,-5.904029475422023e+35
3.7,-3.9324797962887125e+35,-1.627313472592832e+32,-2.0192559208272517e+33,-2.151782320460975e+33,-1.776705001094798e+32,-1.6255975461630246e+35,-2.6599437103235014e+34,-1.9417069358487983e+33,-1.503551528335348e+33,-5.903638699012499e+35
3.8000000000000003,-3.9318340670712166e+35,-1.611114338695715e+32,-2.0065998824434168e+33,-2.144116728172405e+33,-1.7734695573045744e+32,-1.6256648268924358e+35,-2.660025268876229e+34,-1.9417155957586427e+33,-1.503554407859215e+33,-5.9028458708896124e+35
3.9,-3.930796362549399e+35,-1.5942700102528463e+32,-1.9937765796792315e+33,-2.1363572159230016e+33,-1.7705203767594605e+32,-1.625726465691906e+35,-2.6601178869168683e+34,-1.9417262505828285e+33,-1.503557821691138e+33,-5.9016535859987665e+35
4.0,-3.929530019043279e+35,-1.5788530754700199e+32,-1.9809570048985307e+33,-2.12830546776095e+33,-1.7678502096659873e+32,-1.6257819647398783e+35,-2.6602212017477224e+34,-1.9417387884146122e+33,-1.5035617239976825e+33,-5.900226437093783e+35
4.1,-3.928266449182884e+35,-1.5657820234067148e+32,-1.9683527317172837e+33,-2.1198466618866596e+33,-1.7654319461507394e+32,-1.6258309051279533e+35,-2.6603347128230944e+34,-1.9417530794486806e+33,-1.503566064900335e+33,-5.8987972249422336e+35
4.2,-3.927188154284514e+35,-1.5547282004074308e+32,-1.956154956295553e+33,-2.110967993154314e+33,-1.7632197163110378e+32,-1.6258730786807138e+35,-2.660457843466674e+34,-1.9417690001157627e+33,-1.503570797880175e+33,-5.8975495927030715e+35
4.3,-3.926394681970129e+35,-1.5450058965411862e+32,-1.9445055575130645e+33,-2.1017550217673718e+33,-1.761151709420387e+32,-1.6259082769790638e+35,-2.6605900470871246e+34,-1.9417864432968365e+33,-1.5035758813560446e+33,-5.8965843503032e+35
4.4,-3.9259133859049436e+35,-1.5359846475091338e+32,-1.9334893169314267e+33,-2.0923673317316083e+33,-1.7591547426639962e+32,-1.6259360952674085e+35,-2.6607308662722116e+34,-1.9418053111213782e+33,-1.5035812751218923e+33,-5.895930139538809e+35
4.5,-3.925710221911751e+35,-1.5271178314739775e+32,-1.923128891328307e+33,-2.0830038228347706e+33,-1.75715039493296e+32,-1.6259560250099194e+35,-2.66087992128708e+34,-1.9418254999298105e+33,-1.503586936241529e+33,-5.89555395878013e+35
4.6000000000000005,-3.925694457704432e+35,-1.5178773015871846e+32,-1.9133738980888215e+33,-2.0738696652196474e+33,-1.755062248371489e+32,-1.6259676000446316e+35,-2.661036834820386e+34,-1.9418468939580322e+33,-1.503592819156793e+33,-5.895365513545294e+35
4.7,-3.92572517745638e+35,-1.5077376925045733e+32,-1.904091043105791e+33,-2.0651495002723335e+33,-1.752823334106099e+32,-1.6259704699263363e+35,-2.6612011522547278e+34,-1.9418693782545963e+33,-1.5035988802034863e+33,-5.895223411653162e+35
4.8,-3.92563310109703e+35,-1.496382906289148e+32,-1.8950749986522113e+33,-2.056985738911879e+33,-1.750382140700493e+32,-1.6259643926325856e+35,-2.6613723871156e+34,-1.9418928543162384e+33,-1.5036050801851312e+33,-5.8949570842088195e+35
4.9,-3.925276518751966e+35,-1.4841883291805016e+32,-1.8860961182605812e+33,-2.0494599946117253e+33,-1.747705217071134e+32,-1.625949136125179e+35,-2.6615501901283717e+34,-1.9419172299655693e+33,-1.5036113801712153e+33,-5.894423414666323e+35
5.0,-3.924618460438743e+35,-1.4722750815265179e+32,-1.8769717653603737e+33,-2.0425779864496123e+33,-1.7447765757371113e+32,-1.6259243037393536e+35,-2.661734339791623e+34,-1.941942394052252e+33,-1.503617736187249e+33,-5.893584348635016e+35
5.1000000000000005,-3.9237417234629355e+35,-1.4617491440452344e+32,-1.8676007175220292e+33,-2.036261630332398e+33,-1.7415973592849718e+32,-1.6258893496496365e+35,-2.6619244951820405e+34,-1.9419682166301817e+33,-1.503624101765041e+33,-5.892521415796603e+35
5.2,-3.922777559323956e+35,-1.4528472749648193e+32,-1.8579957942489993e+33,-2.0303541818700223e+33,-1.7381859253894368e+32,-1.6258440686509266e+35,-2.6621201053884966e+34,-1.9419945774172353e+33,-1.5036304362666082e+33,-5.891364421612115e+35
5.3,-3.921840096030478e+35,-1.4450496447732489e+32,-1.8482762360738867e+33,-2.024642830725742e+33,-1.7345701860486667e+32,-1.6257887702786994e+35,-2.662320596894508e+34,-1.942021385349301e+33,-1.5036367090919453e+33,-5.890226317441859e+35
5.4,-3.921008736605893e+35,-1.437958881588701e+32,-1.838575495557561e+33,-2.0188972932755604e+33,-1.7307878111248587e+32,-1.625723720392541e+35,-2.6625255652656334e+34,-1.9420485717658287e+33,-1.503642896464732e+33,-5.889185402788347e+35
5.5,-3.920332936258743e+35,-1.431259321872221e+32,-1.829030558202737e+33,-2.0129152048743905e+33,-1.7269130091603806e+32,-1.62564878365288e+35,-2.6627347636058476e+34,-1.942076072227952e+33,-1.5036489753566216e+33,-5.888290076709857e+35
5.6000000000000005,-3.9198368790487885e+35,-1.4246458192722713e+32,-1.819772479742424e+33,-2.0065600893580153e+33,-1.723026729451218e+32,-1.6255634610807158e+35,-2.662947978538537e+34,-1.9421038131975972e+33,-1.5036549192348998e+33,-5.887563723547411e+35
